"","CityName","UniqueUserCount","Lat","Lon"
"1","Sao_Paulo",33023,-23.5606597227933,-46.6300857460772
"2","Rio_de_Janeiro",17221,-22.80698351814,-43.4091598782612
"3","Belo_Horizonte",8499,-19.9147343342368,-43.9609462765898
"4","Brasilia",7632,-15.8392052544751,-47.9413762209937
"5","Curitiba",6771,-25.4418286017429,-49.2652031433617
"6","Porto_Alegre",4947,-30.0479932881124,-51.1452064382614
"7","Campinas",4701,-22.903180709485,-47.0637881037606
"8","Goiania",3797,-16.6926445712227,-49.2670915820362
"9","Fortaleza",2743,-3.77515272419733,-38.5399556736392
"10","Manaus",2264,-3.07285856800879,-60.0034602017866
"11","Recife",2128,-8.02086729881684,-34.9511783488202
"12","Sao_Jose_dos_Campos",1968,-23.194517940081,-45.8859429537822
"13","Ribeirao_Preto",1919,-21.1778316288893,-47.8033839086089
"14","Sorocaba",1868,-23.5022481157287,-47.4607262178188
"15","Canoas",1736,-29.9190271817212,-51.17297488925
"16","Campo_Grande",1629,-20.4542135482957,-54.6151595385581
"17","Jundiai",1510,-23.1915531342041,-46.8793056688696
"18","Natal",1489,-5.85682617097438,-35.2392299553495
"19","Novo_Hamburgo",1343,-29.6826030618179,-51.1248891395474
"20","Juiz_de_Fora",1294,-21.7615891170188,-43.3547302842011
"21","Cuiaba",1216,-15.5944437765345,-56.0853073637225
"22","Gravatai_Cachoeirinha",1149,-29.9321109001476,-51.0274918459127
"23","Uberlandia",1102,-18.9206454835745,-48.2909747230225
"24","Sao_Jose_do_Rio_Preto",1081,-20.8094970682705,-49.3837312845248
"25","Sao_Leopoldo",1074,-29.7639043037577,-51.1424362454071
"26","Itagua",1049,-22.8682952646079,-43.7789616062513
"27","Maringa",1040,-23.4220533490098,-51.9346129462684
"28","Caxias_do_Sul",1031,-29.1668246384384,-51.1848243890129
"29","Piracicaba",1010,-22.726407696636,-47.6456831656451
"30","Caldas_Novas",993,-17.7435202308502,-48.6291737863616
"31","Campina_Grande",979,-7.22619408892955,-35.8880833827852
"32","Belem",946,-1.3692409736508,-48.4090049470684
"33","Joao_Pessoa",930,-7.16151095772879,-34.8871072173076
"34","Teresina",915,-5.08640680436426,-42.7826639226928
"35","Sao_Luis",868,-2.55216034926501,-44.2282290109649
"36","Taubate",865,-23.0283598982026,-45.5594729753441
"37","Atibaia",858,-23.1191530556874,-46.5523627733943
"38","Caruaru",822,-8.28164480915023,-35.975309196609
"39","Bauru",805,-22.3253820358278,-49.0622483926479
"40","Salvador",795,-12.9145600926762,-38.4274653759087
"41","Sapucaia_do_Sul_Esteio",780,-29.8376338525969,-51.1614295520156
"42","Volta_Redonda",760,-22.5180481961772,-44.1003514925568
"43","Foz_do_Lguacu",757,-25.5185441668369,-54.5565144340096
"44","Itu",757,-23.2665989723752,-47.298309767787
"45","Bento_Goncalves",742,-29.1671580036725,-51.5152608164233
"46","Indaiatuba",736,-23.0927908899957,-47.214768890879
"47","Sao_Carlos",732,-22.0135942672221,-47.8966028588172
"48","Nova_Odessa_Sumare",712,-22.8160991433691,-47.2373426402292
"49","Anapolis",676,-16.3254979332215,-48.9489841697322
"50","Feira_de_Santana",671,-12.2502911687571,-38.9519120553681
"51","Americana",656,-22.7390614702359,-47.3322096138642
"52","Uberaba",640,-19.744719156991,-47.9282518253292
"53","Limeira",635,-22.5691017045151,-47.4042322153617
"54","Araraquara",592,-21.7862011551292,-48.1694812366416
