"","CityName","UniqueUserCount","Lat","Lon"
"1","Sao_Paulo",10127,-23.5610407056286,-46.6299378730126
"2","Rio_de_Janeiro",5386,-22.8015109893672,-43.4158681088291
"3","Belo_Horizonte",2747,-19.9154975869346,-43.9619518339859
"4","Brasilia",2630,-15.8405244163142,-47.9449463570044
"5","Curitiba",2308,-25.4424029911536,-49.2659853199899
"6","Campinas",2089,-22.9027695897042,-47.0636484731134
"7","Goiania",1457,-16.6931295840129,-49.2671155986073
"8","Porto_Alegre",1170,-30.0508784383114,-51.1444110918934
"9","Sorocaba",894,-23.5022789301034,-47.4606163851047
"10","Ribeirao_Preto",879,-21.1776697489922,-47.803578500844
"11","Sao_Jose_dos_Campos",857,-23.1949194204903,-45.8862790457254
"12","Jundiai",788,-23.1914032455675,-46.8782508088775
"13","Campo_Grande",628,-20.4538500633861,-54.6153160498833
"14","Manaus",603,-3.07374488162533,-60.0030279802471
"15","Fortaleza",601,-3.77356596202975,-38.5495099474496
"16","Canoas",509,-29.9194248592401,-51.172675086894
"17","Cuiaba",488,-15.5941645966526,-56.0845244096369
"18","Sao_Jose_do_Rio_Preto",488,-20.8091602019146,-49.38402078312
"19","Piracicaba",471,-22.7272958250972,-47.6447089545975
"20","Itagua",466,-22.8683044806298,-43.7788576101998
"21","Uberlandia",462,-18.9206723801827,-48.2904677068537
"22","Juiz_de_Fora",443,-21.7616556134877,-43.3542545021628
"23","Atibaia",433,-23.1193623972203,-46.551798305969
"24","Caldas_Novas",424,-17.7439291343385,-48.6294734357179
"25","Novo_Hamburgo",412,-29.6831278361339,-51.1269796919181
"26","Taubate",412,-23.0277161270443,-45.5591847907572
"27","Itu",395,-23.2663828810492,-47.2988742680032
"28","Maringa",394,-23.4220899001432,-51.9339948760381
"29","Nova_Odessa_Sumare",377,-22.8158860249161,-47.2347753422203
"30","Indaiatuba",376,-23.0926166036467,-47.2146469985891
"31","Recife",367,-8.0202960501529,-34.9519752853074
"32","Bauru",365,-22.325368391984,-49.0628163119418
"33","Sao_Leopoldo",363,-29.7621956900448,-51.1418363622229
"34","Sao_Carlos",350,-22.0134482143281,-47.8969333748818
"35","Gravatai_Cachoeirinha",347,-29.9316305107652,-51.0279698906037
"36","Limeira",335,-22.5689372440575,-47.403426937787
"37","Caxias_do_Sul",317,-29.1664935033562,-51.1840534452334
"38","Anapolis",308,-16.3221967723955,-48.9484272741953
"39","Americana",304,-22.7391578968879,-47.3321844096882
"40","Natal",301,-5.8624458603772,-35.2409023457657
"41","Teresina",296,-5.08597847464072,-42.7820736158604
"42","Araraquara",289,-21.7843011240151,-48.1669214137448
"43","Uberaba",274,-19.744872430035,-47.9276957896372
"44","Pocos_de_Caldas",268,-21.7892920079443,-46.5633474229547
"45","Mogi_Guacu_Mirim",261,-22.3974791953519,-46.9539127768743
"46","Sapucaia_do_Sul_Esteio",254,-29.8375702330438,-51.1622725420061
"47","Foz_do_Lguacu",251,-25.5187599290074,-54.5568288879285
"48","Campina_Grande",248,-7.22644994984861,-35.8889076124113
"49","Volta_Redonda",245,-22.5183566440975,-44.1006776084199
"50","Jacarei",244,-23.3028080215071,-45.9669566269226
"51","Hortolandia",243,-22.8758462050578,-47.197837275686
"52","Barretos",239,-20.5594392585974,-48.5669101321521
"53","Franca",231,-20.5388638033139,-47.3984791383186
"54","Bento_Goncalves",223,-29.1668971135533,-51.5145896310164
"55","Vinhedo",220,-23.0277947712719,-46.9815528746152
"56","Valinhos",218,-22.9718000622727,-46.996439957712
"57","Feira_de_Santana",214,-12.2492942348298,-38.9522173512242
"58","Olimpia",211,-20.7343653197426,-48.9084245649264
"59","Sao_Luis",210,-2.55139882824864,-44.2251462886966
"60","Ponta_Grossa",209,-25.0921901304413,-50.1612650274813
"61","Presidente_Prudente",203,-22.1255951836737,-51.393115792667
"62","Aracatuba",200,-21.2092306096762,-50.4373439618133
"63","Belem",200,-1.36833873321285,-48.4055282652483
"64","Marilia",200,-22.2153238930566,-49.9449207640016
"65","Santa_Barbara_Doeste",199,-22.7506791958639,-47.4042981276836
"66","Caruaru",198,-8.28173544060101,-35.9765798814934
"67","Rio_Claro",198,-22.4046314049739,-47.5563505224059
"68","Guaratingueta",196,-22.8066645372807,-45.1864943683179
"69","Joao_Pessoa",192,-7.15954514089493,-34.89199345354
"70","Salvador",192,-12.909725576806,-38.4274892624588
"71","Francisco_Morato_Franco_da_Rocha",184,-23.3157401845575,-46.7294508366639
"72","Chapeco",177,-27.0978786708679,-52.6144808580698
"73","Jaguariuna",174,-22.6948275374744,-46.9876867894036
"74","Cascavel",173,-22.5096372374078,-51.6801946593614
"75","Paulinia",171,-22.7620610375616,-47.1549868834582
"76","Rio_Branco",167,-9.96576582810368,-67.8145106818326
"77","Mossoro",166,-5.18921898572928,-37.3458650474163
"78","Divinopolis",164,-20.1405625534467,-44.8869058993537
"79","Salto",158,-23.2002429440848,-47.2873141593474
"80","Itatiba",157,-23.00704148185,-46.8424383425854
