"","nightlight1000","mean_value","UP_value","Low_value"
"1",-0.3333,-4.89445744211779,-3.82451401552981,-5.96440086870578
"2",1.53369696969697,-4.86588750518037,-3.813197579895,-5.91857743046573
"3",3.40069393939394,-4.83731756824294,-3.80144555422114,-5.87318958226474
"4",5.26769090909091,-4.80874763130551,-3.78923638173164,-5.82825888087939
"5",7.13468787878788,-4.78017769436809,-3.77654770551782,-5.78380768321835
"6",9.00168484848485,-4.75160775743066,-3.76335640834516,-5.73985910651616
"7",10.8686818181818,-4.72303782049323,-3.74963866734133,-5.69643697364514
"8",12.7356787878788,-4.69446788355581,-3.73537002531495,-5.65356574179666
"9",14.6026757575758,-4.66589794661838,-3.72052548036745,-5.61127041286931
"10",16.4696727272727,-4.63732800968095,-3.70507959528362,-5.56957642407829
"11",18.3366696969697,-4.60875807274353,-3.6890066279036,-5.52850951758346
"12",20.2036666666667,-4.5801881358061,-3.67228068327487,-5.48809558833733
"13",22.0706636363636,-4.55161819886867,-3.65487588784717,-5.44836050989017
"14",23.9376606060606,-4.52304826193125,-3.63676658530219,-5.40932993856031
"15",25.8046575757576,-4.49447832499382,-3.61792755280862,-5.37102909717903
"16",27.6716545454545,-4.46590838805639,-3.5983342355793,-5.33348254053349
"17",29.5386515151515,-4.43733845111897,-3.57796299661027,-5.29671390562767
"18",31.4056484848485,-4.40876851418154,-3.55679137744867,-5.26074565091441
"19",33.2726454545455,-4.38019857724412,-3.53479836482584,-5.22559878966239
"20",35.1396424242424,-4.35162864030669,-3.51196465707531,-5.19129262353807
"21",37.0066393939394,-4.32305870336926,-3.48827292351138,-5.15784448322715
"22",38.8736363636364,-4.29448876643184,-3.46370804945069,-5.12526948341298
"23",40.7406333333333,-4.26591882949441,-3.43825735938705,-5.09358029960177
"24",42.6076303030303,-4.23734889255698,-3.41191081103259,-5.06278697408138
"25",44.4746272727273,-4.20877895561956,-3.38466115354337,-5.03289675769574
"26",46.3416242424242,-4.18020901868213,-3.35650404424959,-5.00391399311467
"27",48.2086212121212,-4.1516390817447,-3.32743811957058,-4.97584004391882
"28",50.0756181818182,-4.12306914480728,-3.29746501743727,-4.94867327217729
"29",51.9426151515152,-4.09449920786985,-3.26658935036732,-4.92240906537238
"30",53.8096121212121,-4.06592927093242,-3.23481863021896,-4.89703991164589
"31",55.6766090909091,-4.037359333995,-3.20216314746021,-4.87255552052978
"32",57.5436060606061,-4.00878939705757,-3.16863580941114,-4.84894298470399
"33",59.410603030303,-3.98021946012014,-3.13425194324619,-4.8261869769941
"34",61.2776,-3.95164952318272,-3.09902907051082,-4.80426997585461
"35",63.144596969697,-3.92307958624529,-3.0629866604746,-4.78317251201598
"36",65.0115939393939,-3.89450964930786,-3.02614586980934,-4.76287342880639
"37",66.8785909090909,-3.86593971237044,-2.98852927587737,-4.7433501488635
"38",68.7455878787879,-3.83736977543301,-2.95016061039539,-4.72457894047063
"39",70.6125848484849,-3.80879983849558,-2.91106449947613,-4.70653517751504
"40",72.4795818181818,-3.78022990155816,-2.87126621512189,-4.68919358799442
"41",74.3465787878788,-3.75165996462073,-2.83079144222839,-4.67252848701307
"42",76.2135757575758,-3.7230900276833,-2.78966606412541,-4.65651399124119
"43",78.0805727272727,-3.69452009074588,-2.74791596869009,-4.64112421280166
"44",79.9475696969697,-3.66595015380845,-2.70556687616369,-4.62633343145321
"45",81.8145666666667,-3.63738021687102,-2.66264418901312,-4.61211624472892
