"","Surface_pressure","mean_value","UP_value","Low_value"
"1",88.9290138,-7.38572933037631,-6.06142204880963,-8.71003661194299
"2",89.0688694090909,-7.32031254231104,-6.01119355573275,-8.62943152888932
"3",89.2087250181818,-7.25489575424577,-5.96085117465177,-8.54894033383976
"4",89.3485806272727,-7.18947896618048,-5.91039087895539,-8.46856705340557
"5",89.4884362363636,-7.12406217811521,-5.85980848374313,-8.38831587248729
"6",89.6282918454546,-7.05864539004993,-5.8090996403739,-8.30819113972597
"7",89.7681474545455,-6.99322860198465,-5.75825983101064,-8.22819737295867
"8",89.9080030636364,-6.92781181391938,-5.70728436319308,-8.14833926464567
"9",90.0478586727273,-6.86239502585411,-5.65616836447593,-8.06862168723229
"10",90.1877142818182,-6.79697823778882,-5.60490677717489,-7.98904969840275
"11",90.3275698909091,-6.73156144972354,-5.55349435326905,-7.90962854617803
"12",90.4674255,-6.66614466165827,-5.50192564951545,-7.8303636738011
"13",90.6072811090909,-6.60072787359299,-5.45019502283698,-7.75126072434899
"14",90.7471367181818,-6.53531108552772,-5.3982966260549,-7.67232554500053
"15",90.8869923272727,-6.46989429746244,-5.346224404042,-7.59356419088288
"16",91.0268479363636,-6.40447750939716,-5.29397209038451,-7.51498292840981
"17",91.1667035454546,-6.33906072133188,-5.24153320464673,-7.43658823801703
"18",91.3065591545455,-6.27364393326661,-5.18890105034299,-7.35838681619023
"19",91.4464147636364,-6.20822714520133,-5.13606871373075,-7.2803855766719
"20",91.5862703727273,-6.14281035713605,-5.08302906354704,-7.20259165072506
"21",91.7261259818182,-6.07739356907078,-5.02977475182063,-7.12501238632093
"22",91.8659815909091,-6.01197678100549,-4.97629821589963,-7.04765534611136
"23",92.0058372,-5.94655999294022,-4.92259168184338,-6.97052830403707
"24",92.1456928090909,-5.88114320487495,-4.86864716933254,-6.89363924041735
"25",92.2855484181818,-5.81572641680967,-4.81445649825858,-6.81699633536076
"26",92.4254040272727,-5.75030962874439,-4.76001129715474,-6.74060796033404
"27",92.5652596363636,-5.68489284067912,-4.70530301363372,-6.66448266772451
"28",92.7051152454546,-5.61947605261383,-4.65032292699326,-6.58862917823441
"29",92.8449708545455,-5.55405926454856,-4.59506216314671,-6.51305636595041
"30",92.9848264636364,-5.48864247648329,-4.53951171202465,-6.43777324094192
"31",93.1246820727273,-5.423225688418,-4.48366244757989,-6.36278892925611
"32",93.2645376818182,-5.35780890035273,-4.42750515050845,-6.28811265019701
"33",93.4043932909091,-5.29239211228745,-4.37103053377324,-6.21375369080166
"34",93.5442489,-5.22697532422217,-4.31422927098629,-6.13972137745806
"35",93.6841045090909,-5.1615585361569,-4.25709202766646,-6.06602504464733
"36",93.8239601181818,-5.09614174809163,-4.19960949534676,-5.99267400083649
"37",93.9638157272727,-5.03072496002634,-4.1417724284532,-5.91967749159948
"38",94.1036713363636,-4.96530817196106,-4.08357168382153,-5.84704466010059
"39",94.2435269454545,-4.89989138389579,-4.02499826265722,-5.77478450513436
"40",94.3833825545455,-4.83447459583051,-3.96604335467651,-5.70290583698451
"41",94.5232381636364,-4.76905780776524,-3.9066983841015,-5.63141723142897
"42",94.6630937727273,-4.70364101969996,-3.84695505710997,-5.56032698228994
"43",94.8029493818182,-4.63822423163468,-3.78680541027616,-5.4896430529932
"44",94.9428049909091,-4.5728074435694,-3.72624185947333,-5.41937302766548
"45",95.0826606,-4.50739065550413,-3.66525724865217,-5.3495240623561
"46",95.2225162090909,-4.44197386743885,-3.60384489786198,-5.28010283701571
"47",95.3623718181818,-4.37655707937357,-3.54199864984357,-5.21111550890357
"48",95.5022274272727,-4.3111402913083,-3.4797129145021,-5.1425676681145
"49",95.6420830363636,-4.24572350324301,-3.41698271056185,-5.07446429592418
"50",95.7819386454545,-4.18030671517774,-3.35380370371775,-5.00680972663774
"51",95.9217942545455,-4.11488992711246,-3.29017224062891,-4.93960761359602
"52",96.0616498636364,-4.04947313904719,-3.22608537815151,-4.87286089994286
"53",96.2015054727273,-3.98405635098191,-3.16154090727607,-4.80657179468775
"54",96.3413610818182,-3.91863956291664,-3.0965373713224,-4.74074175451088
"55",96.4812166909091,-3.85322277485135,-3.03107407804451,-4.6753714716582
"56",96.6210723,-3.78780598678608,-2.96515110541357,-4.61046086815858
"57",96.7609279090909,-3.7223891987208,-2.89876930096546,-4.54600909647615
"58",96.9007835181818,-3.65697241065552,-2.8319302747262,-4.48201454658484
"59",97.0406391272727,-3.59155562259025,-2.76463638585264,-4.41847485932786
"60",97.1804947363636,-3.52613883452497,-2.69689072324445,-4.35538694580549
"61",97.3203503454545,-3.46072204645969,-2.62869708049672,-4.29274701242267
"62",97.4602059545455,-3.39530525839442,-2.56005992565874,-4.23055059113009
"63",97.6000615636364,-3.32988847032914,-2.49098436634859,-4.1687925743097
"64",97.7399171727273,-3.26447168226386,-2.42147611083906,-4.10746725368866
"65",97.8797727818182,-3.19905489419858,-2.35154142577702,-4.04656836262015
"66",98.0196283909091,-3.13363810613331,-2.28118709122528,-3.98608912104134
"67",98.159484,-3.06822131806803,-2.21042035372531,-3.92602228241074
"68",98.2993396090909,-3.00280453000276,-2.13924887807029,-3.86636018193522
"69",98.4391952181818,-2.93738774193748,-2.06768069845133,-3.80709478542363
"70",98.5790508272727,-2.8719709538722,-1.99572416960306,-3.74821773814134
"71",98.7189064363636,-2.80655416580692,-1.92338791852261,-3.68972041309123
"72",98.8587620454545,-2.74113737774165,-1.85068079727839,-3.63159395820491
"73",98.9986176545455,-2.67572058967637,-1.77761183736071,-3.57382934199202
