"","Skintemperature","mean_value","UP_value","Low_value"
"1",-2.80469999999997,-9.24916959360265,-7.89497012500363,-10.6033690622017
"2",-2.2247727272727,-9.1704741178476,-7.83374812554652,-10.5072001101487
"3",-1.64484545454543,-9.09177864209254,-7.7723664112746,-10.4111908729105
"4",-1.06491818181815,-9.01308316633749,-7.71081861189014,-10.3153477207848
"5",-0.484990909090881,-8.93438769058243,-7.64909807990818,-10.2196773012567
"6",0.0949363636363918,-8.85569221482737,-7.58719788080627,-10.1241865488485
"7",0.674863636363664,-8.77699673907232,-7.52511078333217,-10.0288826948125
"8",1.25479090909094,-8.69830126331726,-7.46282925007113,-9.9337732765634
"9",1.83471818181821,-8.61960578756221,-7.40034542838999,-9.83886614673442
"10",2.41464545454548,-8.54091031180715,-7.33765114189306,-9.74416948172124
"11",2.99457272727275,-8.46221483605209,-7.27473788254302,-9.64969178956117
"12",3.57450000000003,-8.38351936029704,-7.21159680362049,-9.55544191697359
"13",4.1544272727273,-8.30482388454198,-7.14821871371717,-9.4614290553668
"14",4.73435454545457,-8.22612840878693,-7.08459407197995,-9.36766274559391
"15",5.31428181818184,-8.14743293303187,-7.02071298484631,-9.27415288121743
"16",5.89420909090912,-8.06873745727681,-6.95656520453515,-9.18090971001848
"17",6.47413636363639,-7.99004198152176,-6.89214012958009,-9.08794383346343
"18",7.05406363636366,-7.9113465057667,-6.82742680771491,-8.99526620381849
"19",7.63399090909093,-7.83265103001165,-6.76241394144122,-8.90288811858207
"20",8.21391818181821,-7.75395555425659,-6.69708989662646,-8.81082121188672
"21",8.79384545454548,-7.67526007850154,-6.63144271449406,-8.71907744250901
"22",9.37377272727275,-7.59656460274648,-6.56546012737634,-8.62766907811662
"23",9.95370000000002,-7.51786912699142,-6.49912957860213,-8.53660867538072
"24",10.5336272727273,-7.43917365123637,-6.43243824688437,-8.44590905558837
"25",11.1135545454546,-7.36047817548131,-6.36537307555547,-8.35558327540715
"26",11.6934818181818,-7.28178269972626,-6.29792080696878,-8.26564459248373
"27",12.2734090909091,-7.2030872239712,-6.23006802234079,-8.17610642560161
"28",12.8533363636364,-7.12439174821614,-6.16180118724958,-8.08698230918271
"29",13.4332636363637,-7.04569627246109,-6.09310670292884,-7.99828584199334
"30",14.0131909090909,-6.96700079670603,-6.02397096340243,-7.91003063000963
"31",14.5931181818182,-6.88830532095098,-5.95438041839249,-7.82223022350946
"32",15.1730454545455,-6.80960984519592,-5.88432164180392,-7.73489804858792
"33",15.7529727272727,-6.73091436944086,-5.81378140544209,-7.64804733343964
"34",16.3329,-6.65221889368581,-5.74274675746104,-7.56169102991058
"35",16.9128272727273,-6.57352341793075,-5.67120510487013,-7.47584173099138
"36",17.4927545454546,-6.4948279421757,-5.59914429925306,-7.39051158509834
"37",18.0726818181818,-6.41613246642064,-5.52655272468129,-7.30571220815999
"38",18.6526090909091,-6.33743699066558,-5.45341938664054,-7.22145459469063
"39",19.2325363636364,-6.25874151491053,-5.3797340006431,-7.13774902917795
"40",19.8124636363637,-6.18004603915547,-5.30548707907886,-7.05460499923208
"41",20.3923909090909,-6.10135056340042,-5.23067001477122,-6.97203111202961
"42",20.9723181818182,-6.02265508764536,-5.15527515966025,-6.89003501563047
"43",21.5522454545455,-5.94395961189031,-5.07929589703872,-6.80862332674189
"44",22.1321727272727,-5.86526413613525,-5.00272670582297,-6.72780156644753
"45",22.7121,-5.78656866038019,-4.92556321545099,-6.6475741053094
"46",23.2920272727273,-5.70787318462514,-4.84780225016389,-6.56794411908639
"47",23.8719545454546,-5.62917770887008,-4.76944186164047,-6.48891355609969
"48",24.4518818181818,-5.55048223311503,-4.69048134920998,-6.41048311702007
"49",25.0318090909091,-5.47178675735997,-4.6109212671569,-6.33265224756304
"50",25.6117363636364,-5.39309128160491,-4.53076341894074,-6.25541914426909
"51",26.1916636363636,-5.31439580584986,-4.45001083847096,-6.17878077322875
"52",26.7715909090909,-5.2357003300948,-4.36866775888796,-6.10273290130164
"53",27.3515181818182,-5.15700485433975,-4.28673956959277,-6.02727013908672
"54",27.9314454545455,-5.07830937858469,-4.20423276252795,-5.95238599464143
"55",28.5113727272727,-4.99961390282963,-4.12115486893111,-5.87807293672816
"56",29.0913,-4.92091842707458,-4.03751438795208,-5.80432246619707
"57",29.6712272727273,-4.84222295131952,-3.95332070864195,-5.73112519399709
"58",30.2511545454546,-4.76352747556447,-3.86858402688418,-5.65847092424475
"59",30.8310818181818,-4.68483199980941,-3.78331525884806,-5.58634874077076
"60",31.4110090909091,-4.60613652405435,-3.69752595250532,-5.51474709560339
"61",31.9909363636364,-4.5274410482993,-3.61122819866936,-5.44365389792924
"62",32.5708636363636,-4.44874557254424,-3.52443454289965,-5.37305660218883
"63",33.1507909090909,-4.37005009678919,-3.43715789947079,-5.30294229410758
"64",33.7307181818182,-4.29135462103413,-3.34941146844386,-5.2332977736244
"65",34.3106454545455,-4.21265914527907,-3.26120865670642,-5.16410963385173
"66",34.8905727272727,-4.13396366952402,-3.17256300367349,-5.09536433537455
"67",35.4705,-4.05526819376896,-3.08348811217137,-5.02704827536656
"68",36.0504272727273,-3.97657271801391,-2.99399758486577,-4.95914785116204
"69",36.6303545454546,-3.89787724225885,-2.90410496644734,-4.89164951807036
"70",37.2102818181818,-3.8191817665038,-2.81382369165614,-4.82453984135145
"71",37.7902090909091,-3.74048629074874,-2.72316703911215,-4.75780554238533
"72",38.3701363636364,-3.66179081499368,-2.63214809082245,-4.69143353916492
"73",38.9500636363636,-3.58309533923863,-2.5407796971578,-4.62541098131945
