"","UTC","mean_value","UP_value","Low_value"
"1",0,0,0,0
"2",0.0050251256281407,-0.0773243257310404,-0.0658119550980495,-0.0888366963640314
"3",0.0100502512562814,-0.153501360059739,-0.130715399252726,-0.176287320866751
"4",0.0150753768844221,-0.228531102986095,-0.194709713436487,-0.262352492535702
"5",0.0201005025125628,-0.302413554510108,-0.257794252165749,-0.347032856854468
"6",0.0251256281407035,-0.37514871463178,-0.319968342135264,-0.430329087128295
"7",0.0301507537688442,-0.446736583351109,-0.381231280771409,-0.512241885930809
"8",0.0351758793969849,-0.517177160668095,-0.441582334699056,-0.592771986637135
"9",0.0402010050251256,-0.58647044658274,-0.501020738116372,-0.671920155049108
"10",0.0452261306532663,-0.654616441095042,-0.559545691071439,-0.749687191118646
"11",0.050251256281407,-0.721615144205002,-0.617156357634239,-0.826073930775765
"12",0.0552763819095477,-0.78746655591262,-0.673851863957042,-0.901081247868198
"13",0.0603015075376884,-0.852170676217895,-0.729631296215791,-0.97471005622
"14",0.0653266331658292,-0.915727505120829,-0.78449369842458,-1.04696131181708
"15",0.0703517587939698,-0.978137042621419,-0.83843807011475,-1.11783601512809
"16",0.0753768844221106,-1.03939928871967,-0.8914633638696,-1.18733521356974
"17",0.0804020100502513,-1.09951424341557,-0.943568482705072,-1.25546000412608
"18",0.085427135678392,-1.15848190670914,-0.994752277286157,-1.32221153613212
"19",0.0904522613065327,-1.21630227860036,-1.04501354296808,-1.38759101423264
"20",0.0954773869346734,-1.27297535908924,-1.09435101665066,-1.45159970152782
"21",0.100502512562814,-1.32850114817578,-1.14276337343334,-1.51423892291821
"22",0.105527638190955,-1.38287964585997,-1.19024922305797,-1.57551006866197
"23",0.110552763819095,-1.43611085214182,-1.2368071061251,-1.63541459815855
"24",0.115577889447236,-1.48819476702134,-1.28243549006921,-1.69395404397346
"25",0.120603015075377,-1.5391313904985,-1.32713276487714,-1.75113001611986
"26",0.125628140703518,-1.58892072257333,-1.3708972385332,-1.80694420661346
"27",0.130653266331658,-1.63756276324581,-1.41372713217354,-1.86139839431808
"28",0.135678391959799,-1.68505751251595,-1.45562057493163,-1.91449445010028
"29",0.14070351758794,-1.73140497038375,-1.49657559845538,-1.96623434231213
"30",0.14572864321608,-1.77660513684921,-1.53659013107623,-2.01662014262219
"31",0.150753768844221,-1.82065801191232,-1.57566199160913,-2.06565403221552
"32",0.155778894472362,-1.8635635955731,-1.613788882762,-2.11333830838419
"33",0.160804020100503,-1.90532188783153,-1.65096838413235,-2.1596753915307
"34",0.165829145728643,-1.94593288868761,-1.68719794476843,-2.2046678326068
