"","population500","mean_value","UP_value","Low_value"
"1",0,-3.77626999721827,-3.00026184556384,-4.55227814887271
"2",0.165529853535354,-3.75500801976485,-2.98689909361865,-4.52311694591105
"3",0.331059707070707,-3.73374604231143,-2.97183534068358,-4.49565674393927
"4",0.496589560606061,-3.712484064858,-2.9550288279477,-4.4699393017683
"5",0.662119414141414,-3.69122208740458,-2.93644869198786,-4.44599548282129
"6",0.827649267676768,-3.66996010995115,-2.91607600428693,-4.42384421561538
"7",0.993179121212121,-3.64869813249773,-2.89390442892327,-4.40349183607219
"8",1.15870897474747,-3.6274361550443,-2.86994044616116,-4.38493186392745
"9",1.32423882828283,-3.60617417759088,-2.84420312378677,-4.36814523139499
"10",1.48976868181818,-3.58491220013745,-2.81672345475482,-4.35310094552008
"11",1.65529853535354,-3.56365022268403,-2.7875433137675,-4.33975713160056
"12",1.82082838888889,-3.54238824523061,-2.75671411211839,-4.32806237834282
"13",1.98635824242424,-3.52112626777718,-2.72429524638461,-4.31795728916975
"14",2.1518880959596,-3.49986429032376,-2.69035244130384,-4.30937613934367
"15",2.31741794949495,-3.47860231287033,-2.65495608141413,-4.30224854432653
"16",2.4829478030303,-3.45734033541691,-2.6181796122425,-4.29650105859131
"17",2.64847765656566,-3.43607835796348,-2.58009807321189,-4.29205864271507
"18",2.81400751010101,-3.41481638051006,-2.54078680418757,-4.28884595683255
"19",2.97953736363636,-3.39355440305663,-2.50032034832755,-4.28678845778571
"20",3.14506721717172,-3.37229242560321,-2.45877155741942,-4.285813293787
"21",3.31059707070707,-3.35103044814978,-2.41621089308848,-4.28585000321109
"22",3.47612692424242,-3.32976847069636,-2.37270590833118,-4.28683103306154
"23",3.64165677777778,-3.30850649324294,-2.32832088843372,-4.28869209805216
"24",3.80718663131313,-3.28724451578951,-2.28311662786504,-4.29137240371398
"25",3.97271648484849,-3.26598253833609,-2.23715031946931,-4.29481475720286
"26",4.13824633838384,-3.24472056088266,-2.19047553353501,-4.29896558823031
"27",4.30377619191919,-3.22345858342924,-2.14314226649498,-4.30377490036349
"28",4.46930604545455,-3.20219660597581,-2.095197041649,-4.30919617030263
"29",4.6348358989899,-3.18093462852239,-2.04668304706289,-4.31518620998189
"30",4.80036575252525,-3.15967265106896,-1.99764029846203,-4.3217050036759
"31",4.96589560606061,-3.13841067361554,-1.9481058173685,-4.32871552986258
"32",5.13142545959596,-3.11714869616211,-1.89811381686473,-4.3361835754595
"33",5.29695531313131,-3.09588671870869,-1.84769588917976,-4.34407754823762
"34",5.46248516666667,-3.07462474125527,-1.7968811907981,-4.35236829171243
"35",5.62801502020202,-3.05336276380184,-1.74569662201034,-4.36102890559335
"36",5.79354487373737,-3.03210078634842,-1.69416699879422,-4.37003457390261
"37",5.95907472727273,-3.01083880889499,-1.64231521567178,-4.37936240211821
"38",6.12460458080808,-2.98957683144157,-1.59016239876758,-4.38899126411556
"39",6.29013443434343,-2.96831485398814,-1.53772804872878,-4.39890165924751
"40",6.45566428787879,-2.94705287653472,-1.48503017348721,-4.40907557958223
"41",6.62119414141414,-2.92579089908129,-1.43208541107211,-4.41949638709048
"42",6.7867239949495,-2.90452892162787,-1.37890914283979,-4.43014870041594
"43",6.95225384848485,-2.88326694417445,-1.32551559758917,-4.44101829075972
"44",7.1177837020202,-2.86200496672102,-1.27191794709432,-4.45209198634772
"45",7.28331355555556,-2.8407429892676,-1.21812839361629,-4.4633575849189
"46",7.44884340909091,-2.81948101181417,-1.16415824996554,-4.47480377366281
"47",7.61437326262626,-2.79821903436075,-1.11001801267939,-4.4864200560421
"48",7.77990311616162,-2.77695705690732,-1.05571742886131,-4.49819668495334
"49",7.94543296969697,-2.7556950794539,-1.00126555720336,-4.51012460170443
"50",8.11096282323232,-2.73443310200047,-0.946670823684165,-4.52219538031678
"51",8.27649267676768,-2.71317112454705,-0.891941072402227,-4.53440117669187
"52",8.44202253030303,-2.69190914709363,-0.837083611972228,-4.54673468221502
"53",8.60755238383839,-2.6706471696402,-0.78210525787876,-4.55918908140164
"54",8.77308223737374,-2.64938519218678,-0.727012371150502,-4.57175801322305
"55",8.93861209090909,-2.62812321473335,-0.671810893687296,-4.58443553577941
"56",9.10414194444444,-2.60686123727993,-0.616506380543953,-4.5972160940159
"57",9.2696717979798,-2.5855992598265,-0.561104029447685,-4.61009449020532
"58",9.43520165151515,-2.56433728237308,-0.50560870780116,-4.623065856945
"59",9.60073150505051,-2.54307530491965,-0.450024977400152,-4.63612563243916
"60",9.76626135858586,-2.52181332746623,-0.39435711707357,-4.64926953785889
"61",9.93179121212121,-2.5005513500128,-0.338609143434348,-4.66249355659126
"62",10.0973210656566,-2.47928937255938,-0.282784829911996,-4.67579391520676
"63",10.2628509191919,-2.45802739510596,-0.226887724221569,-4.68916706599034
"64",10.4283807727273,-2.43676541765253,-0.170921164409202,-4.70260967089586
"65",10.5939106262626,-2.41550344019911,-0.114888293601183,-4.71611858679703
"66",10.759440479798,-2.39424146274568,-0.0587920735715173,-4.72969085191985
"67",10.9249703333333,-2.37297948529226,-0.00263529723213418,-4.74332367335238
"68",11.0905001868687,-2.35171750783883,0.053579399859895,-4.75701441553756
"69",11.256030040404,-2.33045553038541,0.109849528892623,-4.77076058966344
"70",11.4215598939394,-2.30919355293198,0.166172738009434,-4.7845598438734
"71",11.5870897474747,-2.28793157547856,0.222546803268892,-4.79840995422601
"72",11.7526196010101,-2.26666959802514,0.278969620290378,-4.81230881634065
"73",11.9181494545455,-2.24540762057171,0.335439196527638,-4.82625443767106
