"","GDP","mean_value","UP_value","Low_value"
"1",1.7728489,-1.52703769410209,-0.476272533505583,-2.57780285469859
"2",2.50848426464646,-1.66964205346363,-0.653493831664188,-2.68579027526307
"3",3.24411962929293,-1.81224641282517,-0.829356568702382,-2.79513625694797
"4",3.97975499393939,-1.95485077218672,-1.00371821898287,-2.90598332539056
"5",4.71539035858586,-2.09745513154826,-1.1764234964134,-3.01848676668312
"6",5.45102572323232,-2.24005949090981,-1.34730484200279,-3.13281413981682
"7",6.18666108787879,-2.38266385027135,-1.51618366905438,-3.24914403148831
"8",6.92229645252525,-2.52526820963289,-1.68287258000911,-3.36766383925668
"9",7.65793181717172,-2.66787256899444,-1.84717875261252,-3.48856638537635
"10",8.39356718181818,-2.81047692835598,-2.00890863135531,-3.61204522535665
"11",9.12920254646465,-2.95308128771752,-2.16787393909146,-3.73828863634359
"12",9.86483791111111,-3.09568564707907,-2.32389883908933,-3.8674724550688
"13",10.6004732757576,-3.23829000644061,-2.47682784407903,-3.99975216880219
"14",11.336108640404,-3.38089436580216,-2.62653382633807,-4.13525490526624
"15",12.0717440050505,-3.5234987251637,-2.7729252954691,-4.27407215485829
"16",12.807379369697,-3.66610308452524,-2.91595205020132,-4.41625411884916
"17",13.5430147343434,-3.80870744388679,-3.055608428948,-4.56180645882557
"18",14.2786500989899,-3.95131180324833,-3.19193368308876,-4.7106899234079
"19",15.0142854636364,-4.09391616260987,-3.32500941694876,-4.86282290827099
"20",15.7499208282828,-4.23652052197142,-3.4549544731054,-5.01808657083744
"21",16.4855561929293,-4.37912488133296,-3.58191797906248,-5.17633178360344
"22",17.2211915575758,-4.52172924069451,-3.7060714372094,-5.33738704417961
"23",17.9568269222222,-4.66433360005605,-3.82760072104665,-5.50106647906545
"24",18.6924622868687,-4.80693795941759,-3.94669867856873,-5.66717724026646
"25",19.4280976515152,-4.94954231877914,-4.06355880827448,-5.8355258292838
"26",20.1637330161616,-5.09214667814068,-4.17837023254376,-6.0059231237376
"27",20.8993683808081,-5.23475103750222,-4.29131399390043,-6.17818808110402
"28",21.6350037454545,-5.37735539686377,-4.40256056254055,-6.35215023118699
"29",22.370639110101,-5.51995975622531,-4.51226836801305,-6.52765114443758
"30",23.1062744747475,-5.66256411558685,-4.62058314176734,-6.70454508940637
"31",23.8419098393939,-5.8051684749484,-4.72763786434035,-6.88269908555645
"32",24.5775452040404,-5.94777283430994,-4.83355313655566,-7.06199253206422
"33",25.3131805686869,-6.09037719367149,-4.9384378272113,-7.24231656013167
"34",26.0488159333333,-6.23298155303303,-5.04238988322825,-7.42357322283781
"35",26.7844512979798,-6.37558591239457,-5.1454972182399,-7.60567460654925
"36",27.5200866626263,-6.51819027175612,-5.24783862050495,-7.78854192300729
"37",28.2557220272727,-6.66079463111766,-5.34948464059034,-7.97210462164498
"38",28.9913573919192,-6.8033989904792,-5.45049843399039,-8.15629954696801
"39",29.7269927565657,-6.94600334984075,-5.55093654451941,-8.34107015516209
"40",30.4626281212121,-7.08860770920229,-5.65084962178215,-8.52636579662244
"41",31.1982634858586,-7.23121206856384,-5.7502830710608,-8.71214106606688
"42",31.9338988505051,-7.37381642792538,-5.84927763720227,-8.89835521864848
"43",32.6695342151515,-7.51642078728692,-5.94786992605725,-9.0849716485166
"44",33.405169579798,-7.65902514664847,-6.04609286810109,-9.27195742519585
"45",34.1408049444444,-7.80162950601001,-6.14397612934573,-9.45928288267429
"46",34.8764403090909,-7.94423386537155,-6.24154647473764,-9.64692125600547
"47",35.6120756737374,-8.0868382247331,-6.33882808907834,-9.83484836038786
"48",36.3477110383838,-8.22944258409464,-6.43584286020122,-10.0230423079881
"49",37.0833464030303,-8.37204694345619,-6.53261062876079,-10.2114832581516
"50",37.8189817676768,-8.51465130281773,-6.62914940858359,-10.4001531970519
"51",38.5546171323232,-8.65725566217927,-6.72547558112147,-10.5890357432371
"52",39.2902524969697,-8.79986002154082,-6.82160406715735,-10.7781159759243
"53",40.0258878616162,-8.94246438090236,-6.9175484785483,-10.9673802832564
"54",40.7615232262626,-9.0850687402639,-7.01332125245805,-11.1568162280698
"55",41.4971585909091,-9.22767309962545,-7.10893377023069,-11.3464124290202
"56",42.2327939555556,-9.37027745898699,-7.20439646278955,-11.5361584551844
"57",42.968429320202,-9.51288181834854,-7.29971890420844,-11.7260447324886
"58",43.7040646848485,-9.65548617771008,-7.39490989489374,-11.9160624605264
"59",44.439700049495,-9.79809053707162,-7.48997753563318,-12.1062035385101
"60",45.1753354141414,-9.94069489643317,-7.58492929360733,-12.296460499259
"61",45.9109707787879,-10.0832992557947,-7.67977206132065,-12.4868264502688
"62",46.6466061434343,-10.2259036151563,-7.77451220928771,-12.6772950210248
"63",47.3822415080808,-10.3685079745178,-7.86915563320481,-12.8678603158308
"64",48.1178768727273,-10.5111123338793,-7.96370779624539,-13.0585168715133
"65",48.8535122373737,-10.6537166932409,-8.05817376703832,-13.2492596194435
"66",49.5891476020202,-10.7963210526024,-8.15255825381864,-13.4400838513862
"67",50.3247829666667,-10.938925411964,-8.24686563518026,-13.6309851887477
"68",51.0604183313131,-11.0815297713255,-8.34109998780774,-13.8219595548433
"69",51.7960536959596,-11.2241341306871,-8.4352651115188,-14.0130031498553
"70",52.5316890606061,-11.3667384900486,-8.52936455190923,-14.204112428188
"71",53.2673244252525,-11.5093428494101,-8.6234016208576,-14.3952840779627
"72",54.002959789899,-11.6519472087717,-8.71737941511672,-14.5865150024267
"73",54.7385951545455,-11.7945515681332,-8.81130083319234,-14.7778023030741
