"","impervious500","mean_value","UP_value","Low_value"
"1",-0.0185,-0.535767447079741,0.279267197567095,-1.35080209172658
"2",-0.00811313131313131,-0.579276646217304,0.226574063491218,-1.38512735592583
"3",0.00227373737373738,-0.622785845354866,0.174070235741102,-1.41964192645083
"4",0.0126606060606061,-0.666295044492429,0.121762196385594,-1.45435228537045
"5",0.0230474747474748,-0.709804243629991,0.0696565758469743,-1.48926506310696
"6",0.0334343434343434,-0.753313442767554,0.0177601442381776,-1.52438702977329
"7",0.0438212121212121,-0.796822641905117,-0.0339201990365471,-1.55972508477369
"8",0.0542080808080808,-0.840331841042679,-0.0853774375383757,-1.59528624454698
"9",0.0645949494949495,-0.883841040180242,-0.136604452020234,-1.63107762834025
"10",0.0749818181818182,-0.927350239317804,-0.187594036722489,-1.66710644191312
"11",0.0853686868686869,-0.970859438455367,-0.238338917821142,-1.70337995908959
"12",0.0957555555555556,-1.01436863759293,-0.288831774090466,-1.73990550109539
"13",0.106142424242424,-1.05787783673049,-0.339065259815958,-1.77669041364503
"14",0.116529292929293,-1.10138703586805,-0.389032029962435,-1.81374204177367
"15",0.126916161616162,-1.14489623500562,-0.438724767565988,-1.85106770244525
"16",0.13730303030303,-1.18840543414318,-0.488136213277629,-1.88867465500873
"17",0.147689898989899,-1.23191463328074,-0.537259196941103,-1.92657006962038
"18",0.158076767676768,-1.27542383241831,-0.586086671038225,-1.96476099379839
"19",0.168463636363636,-1.31893303155587,-0.63461174578314,-2.0032543173286
"20",0.178850505050505,-1.36244223069343,-0.682827725593299,-2.04205673579356
"21",0.189237373737374,-1.40595142983099,-0.730728146611201,-2.08117471305079
"22",0.199624242424242,-1.44946062896856,-0.778306814898714,-2.1206144430384
"23",0.210011111111111,-1.49296982810612,-0.825557844877139,-2.1603818113351
"24",0.22039797979798,-1.53647902724368,-0.872475697543034,-2.20048235694433
"25",0.230784848484849,-1.57998822638124,-0.919055217954358,-2.24092123480813
"26",0.241171717171717,-1.62349742551881,-0.965291671455805,-2.28170317958181
"27",0.251558585858586,-1.66700662465637,-1.01118077809812,-2.32283247121461
"28",0.261945454545455,-1.71051582379393,-1.05671874470533,-2.36431290288254
"29",0.272332323232323,-1.75402502293149,-1.10190229405716,-2.40614775180583
"30",0.282719191919192,-1.79753422206906,-1.14672869068277,-2.44833975345535
"31",0.293106060606061,-1.84104342120662,-1.19119576280487,-2.49089107960837
"32",0.303492929292929,-1.88455262034418,-1.23530192003171,-2.53380332065666
"33",0.313879797979798,-1.92806181948174,-1.2790461664648,-2.57707747249868
"34",0.324266666666667,-1.97157101861931,-1.32242810897264,-2.62071392826597
"35",0.334653535353535,-2.01508021775687,-1.36544796047062,-2.66471247504312
"36",0.345040404040404,-2.05858941689443,-1.40810653814367,-2.7090722956452
"37",0.355427272727273,-2.10209861603199,-1.45040525664608,-2.75379197541791
"38",0.365814141414141,-2.14560781516956,-1.49234611640996,-2.79886951392916
"39",0.37620101010101,-2.18911701430712,-1.53393168728612,-2.84430234132812
"40",0.386587878787879,-2.23262621344468,-1.57516508782605,-2.89008733906332
"41",0.396974747474747,-2.27613541258225,-1.61604996058789,-2.9362208645766
"42",0.407361616161616,-2.31964461171981,-1.65659044391131,-2.9826987795283
