"","cloudcover","mean_value","UP_value","Low_value"
"1",0,-3.65941883902327,-2.87676769526142,-4.44206998278511
"2",1.01010101010101,-3.65893624024785,-2.87740281336075,-4.44046966713495
"3",2.02020202020202,-3.65845364147243,-2.87801617928594,-4.43889110365892
"4",3.03030303030303,-3.65797104269702,-2.87860770127126,-4.43733438412278
"5",4.04040404040404,-3.6574884439216,-2.87917728887846,-4.43579959896475
"6",5.05050505050505,-3.65700584514619,-2.87972485303143,-4.43428683726094
"7",6.06060606060606,-3.65652324637077,-2.88025030605065,-4.43279618669089
"8",7.07070707070707,-3.65604064759536,-2.88075356168742,-4.4313277335033
"9",8.08080808080808,-3.65555804881994,-2.88123453515783,-4.42988156248205
"10",9.09090909090909,-3.65507545004452,-2.88169314317651,-4.42845775691254
"11",10.1010101010101,-3.65459285126911,-2.88212930399003,-4.42705639854819
"12",11.1111111111111,-3.65411025249369,-2.88254293740997,-4.42567756757742
"13",12.1212121212121,-3.65362765371828,-2.88293396484567,-4.42432134259089
"14",13.1313131313131,-3.65314505494286,-2.88330230933655,-4.42298780054918
"15",14.1414141414141,-3.65266245616745,-2.88364789558403,-4.42167701675086
"16",15.1515151515152,-3.65217985739203,-2.88397064998302,-4.42038906480104
"17",16.1616161616162,-3.65169725861661,-2.88427050065291,-4.41912401658032
"18",17.1717171717172,-3.6512146598412,-2.88454737746805,-4.41788194221435
"19",18.1818181818182,-3.65073206106578,-2.88480121208775,-4.41666291004382
"20",19.1919191919192,-3.65024946229037,-2.88503193798566,-4.41546698659508
"21",20.2020202020202,-3.64976686351495,-2.88523949047859,-4.41429423655132
"22",21.2121212121212,-3.64928426473954,-2.88542380675472,-4.41314472272435
"23",22.2222222222222,-3.64880166596412,-2.88558482590115,-4.41201850602709
"24",23.2323232323232,-3.6483190671887,-2.8857224889308,-4.41091564544661
"25",24.2424242424242,-3.64783646841329,-2.88583673880857,-4.40983619801801
"26",25.2525252525253,-3.64735386963787,-2.88592752047684,-4.40878021879891
"27",26.2626262626263,-3.64687127086246,-2.88599478088016,-4.40774776084475
"28",27.2727272727273,-3.64638867208704,-2.88603846898923,-4.40673887518486
"29",28.2828282828283,-3.64590607331163,-2.88605853582398,-4.40575361079927
"30",29.2929292929293,-3.64542347453621,-2.88605493447597,-4.40479201459645
"31",30.3030303030303,-3.64494087576079,-2.8860276201298,-4.40385413139179
"32",31.3131313131313,-3.64445827698538,-2.88597655008374,-4.40294000388702
"33",32.3232323232323,-3.64397567820996,-2.88590168376946,-4.40204967265047
"34",33.3333333333333,-3.64349307943455,-2.8858029827708,-4.40118317609829
"35",34.3434343434343,-3.64301048065913,-2.8856804108417,-4.40034055047657
"36",35.3535353535354,-3.64252788188372,-2.88553393392305,-4.39952182984439
"37",36.3636363636364,-3.6420452831083,-2.8853635201587,-4.3987270460579
"38",37.3737373737374,-3.64156268433288,-2.88516913991041,-4.39795622875536
"39",38.3838383838384,-3.64108008555747,-2.88495076577182,-4.39720940534312
"40",39.3939393939394,-3.64059748678205,-2.8847083725814,-4.39648660098271
"41",40.4040404040404,-3.64011488800664,-2.88444193743434,-4.39578783857893
"42",41.4141414141414,-3.63963228923122,-2.88415143969348,-4.39511313876896
"43",42.4242424242424,-3.63914969045581,-2.88383686099908,-4.39446251991253
"44",43.4343434343434,-3.63866709168039,-2.88349818527758,-4.3938359980832
"45",44.4444444444444,-3.63818449290497,-2.88313539874928,-4.39323358706068
"46",45.4545454545455,-3.63770189412956,-2.8827484899349,-4.39265529832422
"47",46.4646464646465,-3.63721929535414,-2.88233744966111,-4.39210114104717
"48",47.4747474747475,-3.63673669657873,-2.88190227106492,-4.39157112209253
"49",48.4848484848485,-3.63625409780331,-2.88144294959693,-4.39106524600969
"50",49.4949494949495,-3.6357714990279,-2.88095948302355,-4.39058351503224
"51",50.5050505050505,-3.63528890025248,-2.88045187142805,-4.39012592907691
"52",51.5151515151515,-3.63480630147706,-2.87992011721054,-4.38969248574359
"53",52.5252525252525,-3.63432370270165,-2.87936422508679,-4.38928318031651
"54",53.5353535353535,-3.63384110392623,-2.87878420208601,-4.38889800576646
"55",54.5454545454545,-3.63335850515082,-2.87818005754743,-4.3885369527542
"56",55.5555555555556,-3.6328759063754,-2.87755180311589,-4.38820000963491
"57",56.5656565656566,-3.63239330759999,-2.87689945273619,-4.38788716246378
"58",57.5757575757576,-3.63191070882457,-2.8762230226465,-4.38759839500264
"59",58.5858585858586,-3.63142811004915,-2.87552253137057,-4.38733368872774
"60",59.5959595959596,-3.63094551127374,-2.87479799970891,-4.38709302283857
"61",60.6060606060606,-3.63046291249832,-2.87404945072891,-4.38687637426774
"62",61.6161616161616,-3.62998031372291,-2.87327690975386,-4.38668371769196
"63",62.6262626262626,-3.62949771494749,-2.87248040435101,-4.38651502554398
"64",63.6363636363636,-3.62901511617208,-2.8716599643185,-4.38637026802565
